@relation dataset_1
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',6023,152,6200,6195,6198,'byte_6500'
'time_0',152,6200,6195,6198,6194,'byte_6500'
'time_0',6200,6195,6198,6194,6198,'byte_5500'
'time_0',6195,6198,6194,6198,5327,'byte_4500'
'time_0',6198,6194,6198,5327,4131,'byte_4500'
'time_1',6194,6198,5327,4131,4129,'byte_3500'
'time_1',6198,5327,4131,4129,3447,'byte_5000'
'time_1',5327,4131,4129,3447,4949,'byte_4500'
'time_1',4131,4129,3447,4949,4130,'byte_3500'
'time_1',4129,3447,4949,4130,3254,'byte_3500'
'time_1',3447,4949,4130,3254,3099,'byte_3500'
'time_2',4949,4130,3254,3099,3098,'byte_3500'
'time_2',4130,3254,3099,3098,3099,'byte_3500'
'time_2',3254,3099,3098,3099,3092,'byte_2500'
'time_2',3099,3098,3099,3092,2445,'byte_1500'
'time_2',3098,3099,3092,2445,1235,'byte_1500'
'time_3',3099,3092,2445,1235,1242,'byte_1500'
'time_3',3092,2445,1235,1242,1239,'byte_1500'
'time_3',2445,1235,1242,1239,1242,'byte_1500'
'time_3',1235,1242,1239,1242,1235,'byte_1500'
'time_3',1242,1239,1242,1235,1101,'byte_1500'
'time_3',1239,1242,1235,1101,1037,'byte_1000'
'time_4',1242,1235,1101,1037,859,'byte_1500'
'time_4',1235,1101,1037,859,1242,'byte_1500'
'time_4',1101,1037,859,1242,1031,'byte_1000'
'time_4',1037,859,1242,1031,864,'byte_1000'
'time_4',859,1242,1031,864,991,'byte_1000'
'time_5',1242,1031,864,991,826,'byte_1000'
'time_5',1031,864,991,826,688,'byte_1000'
'time_5',864,991,826,688,991,'byte_1000'
'time_5',991,826,688,991,826,'byte_1500'
'time_5',826,688,991,826,1282,'byte_2000'
'time_5',688,991,826,1282,1552,'byte_2500'
'time_6',991,826,1282,1552,2226,'byte_2000'
'time_6',826,1282,1552,2226,1863,'byte_2000'
'time_6',1282,1552,2226,1863,1855,'byte_2000'
'time_6',1552,2226,1863,1855,1863,'byte_2000'
'time_6',2226,1863,1855,1863,1701,'byte_2500'
'time_6',1863,1855,1863,1701,2061,'byte_2500'
'time_7',1855,1863,1701,2061,2484,'byte_2500'
'time_7',1863,1701,2061,2484,2061,'byte_2500'
'time_7',1701,2061,2484,2061,2070,'byte_2500'
'time_7',2061,2484,2061,2070,2325,'byte_3000'
'time_7',2484,2061,2070,2325,2582,'byte_4000'
'time_8',2061,2070,2325,2582,3713,'byte_3500'
'time_8',2070,2325,2582,3713,3098,'byte_3500'
'time_8',2325,2582,3713,3098,3100,'byte_3500'
'time_8',2582,3713,3098,3100,3099,'byte_4000'
'time_8',3713,3098,3100,3099,3779,'byte_3500'
'time_8',3098,3100,3099,3779,3441,'byte_5000'
'time_9',3100,3099,3779,3441,4961,'byte_4500'
'time_9',3099,3779,3441,4961,4129,'byte_3500'
'time_9',3779,3441,4961,4129,3446,'byte_5000'
'time_9',3441,4961,4129,3446,4981,'byte_4500'
'time_9',4961,4129,3446,4981,4439,'byte_4500'
'time_10',4129,3446,4981,4439,4447,'byte_4000'
'time_10',3446,4981,4439,4447,3700,'byte_5500'
'time_10',4981,4439,4447,3700,5325,'byte_4500'
'time_10',4439,4447,3700,5325,4446,'byte_3500'
'time_10',4447,3700,5325,4446,3435,'byte_4000'
'time_10',3700,5325,4446,3435,3845,'byte_3500'
'time_11',5325,4446,3435,3845,3204,'byte_3000'
'time_11',4446,3435,3845,3204,2670,'byte_4000'
'time_11',3435,3845,3204,2670,3838,'byte_3500'
'time_11',3845,3204,2670,3838,3204,'byte_4000'
'time_11',3204,2670,3838,3204,3760,'byte_6500'
'time_11',2670,3838,3204,3760,6197,'byte_5500'
'time_12',3838,3204,3760,6197,5160,'byte_4500'
'time_12',3204,3760,6197,5160,4311,'byte_6500'
'time_12',3760,6197,5160,4311,6190,'byte_5500'
'time_12',6197,5160,4311,6190,5246,'byte_5500'
'time_12',5160,4311,6190,5246,5252,'byte_6500'
'time_13',4311,6190,5246,5252,6299,'byte_8000'
'time_13',6190,5246,5252,6299,7565,'byte_5500'
'time_13',5246,5252,6299,7565,5247,'byte_8000'
'time_13',5252,6299,7565,5247,7558,'byte_6500'
'time_13',6299,7565,5247,7558,6019,'byte_5000'
'time_13',7565,5247,7558,6019,4735,'byte_6000'
'time_14',5247,7558,6019,4735,5682,'byte_7000'
'time_14',7558,6019,4735,5682,6818,'byte_6000'
'time_14',6019,4735,5682,6818,5676,'byte_6000'
'time_14',4735,5682,6818,5676,5684,'byte_7000'
'time_14',5682,6818,5676,5684,6945,'byte_6000'
'time_14',6818,5676,5684,6945,5941,'byte_7500'
'time_15',5676,5684,6945,5941,7128,'byte_9000'
'time_15',5684,6945,5941,7128,8550,'byte_6000'
'time_15',6945,5941,7128,8550,5941,'byte_9000'
'time_15',5941,7128,8550,5941,8861,'byte_8500'
'time_15',7128,8550,5941,8861,8266,'byte_7000'
'time_16',8550,5941,8861,8266,6888,'byte_8500'
'time_16',5941,8861,8266,6888,8262,'byte_10000'
'time_16',8861,8266,6888,8262,9924,'byte_7000'
'time_16',8266,6888,8262,9924,6888,'byte_10000'
'time_16',6888,8262,9924,6888,9977,'byte_8500'
'time_16',8262,9924,6888,9977,8365,'byte_7000'
'time_17',9924,6888,9977,8365,6976,'byte_10000'
'time_17',6888,9977,8365,6976,10034,'byte_8500'
'time_17',9977,8365,6976,10034,8369,'byte_7000'
'time_17',8365,6976,10034,8369,6965,'byte_7000'
'time_17',6976,10034,8369,6965,6628,'byte_8000'
'time_17',10034,8369,6965,6628,7684,'byte_5500'
'time_18',8369,6965,6628,7684,5335,'byte_8000'
'time_18',6965,6628,7684,5335,7677,'byte_6500'
'time_18',6628,7684,5335,7677,6409,'byte_5500'
'time_18',7684,5335,7677,6409,5110,'byte_7000'
'time_18',5335,7677,6409,5110,6508,'byte_5500'
'time_19',7677,6409,5110,6508,5418,'byte_5000'
'time_19',6409,5110,6508,5418,4521,'byte_5500'
'time_19',5110,6508,5418,4521,5424,'byte_7000'
'time_19',6508,5418,4521,5424,6508,'byte_7500'
'time_19',5418,4521,5424,6508,7273,'byte_10000'
'time_19',4521,5424,6508,7273,10220,'byte_10000'
'time_20',5424,6508,7273,10220,12268,'byte_10000'
'time_20',6508,7273,10220,12268,10227,'byte_9000'
'time_20',7273,10220,12268,10227,8522,'byte_10000'
'time_20',10220,12268,10227,8522,12295,'byte_10000'
'time_20',12268,10227,8522,12295,10326,'byte_9000'
'time_21',10227,8522,12295,10326,8611,'byte_10000'
'time_21',8522,12295,10326,8611,12387,'byte_10000'
'time_21',12295,10326,8611,12387,10326,'byte_9000'
'time_21',10326,8611,12387,10326,8610,'byte_10000'
'time_21',8611,12387,10326,8610,10333,'byte_10000'
'time_21',12387,10326,8610,10333,12387,'byte_10000'
'time_22',10326,8610,10333,12387,10332,'byte_9000'
'time_22',8610,10333,12387,10332,8605,'byte_10000'
'time_22',10333,12387,10332,8605,10333,'byte_10000'
'time_22',12387,10332,8605,10333,12394,'byte_8500'
'time_22',10332,8605,10333,12394,8172,'byte_6500'
'time_22',8605,10333,12394,8172,6023,'byte_500'
'time_23',10333,12394,8172,6023,152,'byte_6500'
'time_23',12394,8172,6023,152,6200,'byte_6500'
'time_23',8172,6023,152,6200,6195,'byte_6500'
