@relation dataset_2
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7223,875,875,5322,6197,2,6199,-2,6197,'byte_6500'
'time_0',875,0,6197,2,6199,-2,6197,-7,6190,'byte_6500'
'time_0',6197,9,6199,-2,6197,-7,6190,10,6200,'byte_5500'
'time_0',6199,-3,6197,-7,6190,10,6200,-1172,5028,'byte_4500'
'time_0',6197,1162,6190,10,6200,-1172,5028,-899,4129,'byte_4500'
'time_1',6190,2071,6200,-1172,5028,-899,4129,0,4129,'byte_4500'
'time_1',6200,899,5028,-899,4129,0,4129,0,4129,'byte_4500'
'time_1',5028,0,4129,0,4129,0,4129,1,4130,'byte_6000'
'time_1',4129,-1,4129,0,4129,1,4130,1482,5612,'byte_2500'
'time_1',4129,-1483,4129,1,4130,1482,5612,-3399,2213,'byte_3500'
'time_1',4129,1917,4130,1482,5612,-3399,2213,881,3094,'byte_3500'
'time_2',4130,2518,5612,-3399,2213,881,3094,5,3099,'byte_3500'
'time_2',5612,-886,2213,881,3094,5,3099,-1,3098,'byte_3500'
'time_2',2213,-4,3094,5,3099,-1,3098,2,3100,'byte_2500'
'time_2',3094,-1,3099,-1,3098,2,3100,-1065,2035,'byte_1500'
'time_2',3099,1063,3098,2,3100,-1065,2035,-793,1242,'byte_1500'
