@relation dataset_1
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',6023,152,152,6048,6200,-5,6195,3,6198,'byte_6500'
'time_0',152,2,6200,-5,6195,3,6198,-4,6194,'byte_6500'
'time_0',6200,1,6195,3,6198,-4,6194,4,6198,'byte_5500'
'time_0',6195,0,6198,-4,6194,4,6198,-871,5327,'byte_4500'
'time_0',6198,867,6194,4,6198,-871,5327,-1196,4131,'byte_4500'
'time_1',6194,2067,6198,-871,5327,-1196,4131,-2,4129,'byte_3500'
'time_1',6198,1198,5327,-1196,4131,-2,4129,-682,3447,'byte_5000'
'time_1',5327,684,4131,-2,4129,-682,3447,1502,4949,'byte_4500'
'time_1',4131,-820,4129,-682,3447,1502,4949,-819,4130,'byte_3500'
'time_1',4129,-683,3447,1502,4949,-819,4130,-876,3254,'byte_3500'
'time_1',3447,1695,4949,-819,4130,-876,3254,-155,3099,'byte_3500'
'time_2',4949,1031,4130,-876,3254,-155,3099,-1,3098,'byte_3500'
'time_2',4130,156,3254,-155,3099,-1,3098,1,3099,'byte_3500'
'time_2',3254,0,3099,-1,3098,1,3099,-7,3092,'byte_2500'
'time_2',3099,6,3098,1,3099,-7,3092,-647,2445,'byte_1500'
