@relation dataset_1_500der_win10
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute d_bandwidth_6 numeric
@attribute bandwidth_7 numeric
@attribute d_bandwidth_7 numeric
@attribute bandwidth_8 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',6023,152,152,6048,6200,-5,6195,3,6198,-4,6194,4,6198,-871,5327,-1196,4131,'byte_4500'
'time_0',152,2069,6200,-5,6195,3,6198,-4,6194,4,6198,-871,5327,-1196,4131,-2,4129,'byte_3500'
'time_0',6200,2066,6195,3,6198,-4,6194,4,6198,-871,5327,-1196,4131,-2,4129,-682,3447,'byte_5000'
'time_0',6195,2751,6198,-4,6194,4,6198,-871,5327,-1196,4131,-2,4129,-682,3447,1502,4949,'byte_4500'
'time_0',6198,1245,6194,4,6198,-871,5327,-1196,4131,-2,4129,-682,3447,1502,4949,-819,4130,'byte_3500'
'time_1',6194,2068,6198,-871,5327,-1196,4131,-2,4129,-682,3447,1502,4949,-819,4130,-876,3254,'byte_3500'
'time_1',6198,2073,5327,-1196,4131,-2,4129,-682,3447,1502,4949,-819,4130,-876,3254,-155,3099,'byte_3500'
'time_1',5327,1032,4131,-2,4129,-682,3447,1502,4949,-819,4130,-876,3254,-155,3099,-1,3098,'byte_3500'
'time_1',4131,1031,4129,-682,3447,1502,4949,-819,4130,-876,3254,-155,3099,-1,3098,1,3099,'byte_3500'
'time_1',4129,348,3447,1502,4949,-819,4130,-876,3254,-155,3099,-1,3098,1,3099,-7,3092,'byte_2500'
'time_1',3447,1857,4949,-819,4130,-876,3254,-155,3099,-1,3098,1,3099,-7,3092,-647,2445,'byte_1500'
'time_2',4949,1685,4130,-876,3254,-155,3099,-1,3098,1,3099,-7,3092,-647,2445,-1210,1235,'byte_1500'
'time_2',4130,2019,3254,-155,3099,-1,3098,1,3099,-7,3092,-647,2445,-1210,1235,7,1242,'byte_1500'
'time_2',3254,1857,3099,-1,3098,1,3099,-7,3092,-647,2445,-1210,1235,7,1242,-3,1239,'byte_1500'
'time_2',3099,1859,3098,1,3099,-7,3092,-647,2445,-1210,1235,7,1242,-3,1239,3,1242,'byte_1500'
'time_2',3098,1857,3099,-7,3092,-647,2445,-1210,1235,7,1242,-3,1239,3,1242,-7,1235,'byte_1500'
'time_3',3099,1857,3092,-647,2445,-1210,1235,7,1242,-3,1239,3,1242,-7,1235,-134,1101,'byte_1500'
'time_3',3092,1344,2445,-1210,1235,7,1242,-3,1239,3,1242,-7,1235,-134,1101,-64,1037,'byte_1000'
'time_3',2445,198,1235,7,1242,-3,1239,3,1242,-7,1235,-134,1101,-64,1037,-178,859,'byte_1500'
'time_3',1235,383,1242,-3,1239,3,1242,-7,1235,-134,1101,-64,1037,-178,859,383,1242,'byte_1500'
'time_3',1242,-3,1239,3,1242,-7,1235,-134,1101,-64,1037,-178,859,383,1242,-211,1031,'byte_1000'
'time_3',1239,211,1242,-7,1235,-134,1101,-64,1037,-178,859,383,1242,-211,1031,-167,864,'byte_1000'
'time_4',1242,371,1235,-134,1101,-64,1037,-178,859,383,1242,-211,1031,-167,864,127,991,'byte_1000'
'time_4',1235,110,1101,-64,1037,-178,859,383,1242,-211,1031,-167,864,127,991,-165,826,'byte_1000'
'time_4',1101,211,1037,-178,859,383,1242,-211,1031,-167,864,127,991,-165,826,-138,688,'byte_1000'
'time_4',1037,171,859,383,1242,-211,1031,-167,864,127,991,-165,826,-138,688,303,991,'byte_1000'
'time_4',859,251,1242,-211,1031,-167,864,127,991,-165,826,-138,688,303,991,-165,826,'byte_1500'
'time_5',1242,205,1031,-167,864,127,991,-165,826,-138,688,303,991,-165,826,456,1282,'byte_2000'
'time_5',1031,-418,864,127,991,-165,826,-138,688,303,991,-165,826,456,1282,270,1552,'byte_2500'
'time_5',864,-561,991,-165,826,-138,688,303,991,-165,826,456,1282,270,1552,674,2226,'byte_2000'
'time_5',991,-1400,826,-138,688,303,991,-165,826,456,1282,270,1552,674,2226,-363,1863,'byte_2000'
'time_5',826,-1175,688,303,991,-165,826,456,1282,270,1552,674,2226,-363,1863,-8,1855,'byte_2000'
'time_5',688,-864,991,-165,826,456,1282,270,1552,674,2226,-363,1863,-8,1855,8,1863,'byte_2000'
'time_6',991,-1037,826,456,1282,270,1552,674,2226,-363,1863,-8,1855,8,1863,-162,1701,'byte_2500'
'time_6',826,-419,1282,270,1552,674,2226,-363,1863,-8,1855,8,1863,-162,1701,360,2061,'byte_2500'
'time_6',1282,-509,1552,674,2226,-363,1863,-8,1855,8,1863,-162,1701,360,2061,423,2484,'byte_2500'
'time_6',1552,-258,2226,-363,1863,-8,1855,8,1863,-162,1701,360,2061,423,2484,-423,2061,'byte_2500'
'time_6',2226,-198,1863,-8,1855,8,1863,-162,1701,360,2061,423,2484,-423,2061,9,2070,'byte_2500'
'time_6',1863,-215,1855,8,1863,-162,1701,360,2061,423,2484,-423,2061,9,2070,255,2325,'byte_3000'
'time_7',1855,-462,1863,-162,1701,360,2061,423,2484,-423,2061,9,2070,255,2325,257,2582,'byte_4000'
'time_7',1863,-881,1701,360,2061,423,2484,-423,2061,9,2070,255,2325,257,2582,1131,3713,'byte_3500'
'time_7',1701,-1652,2061,423,2484,-423,2061,9,2070,255,2325,257,2582,1131,3713,-615,3098,'byte_3500'
'time_7',2061,-614,2484,-423,2061,9,2070,255,2325,257,2582,1131,3713,-615,3098,2,3100,'byte_3500'
'time_7',2484,-1039,2061,9,2070,255,2325,257,2582,1131,3713,-615,3098,2,3100,-1,3099,'byte_4000'
'time_8',2061,-1029,2070,255,2325,257,2582,1131,3713,-615,3098,2,3100,-1,3099,680,3779,'byte_3500'
'time_8',2070,-1454,2325,257,2582,1131,3713,-615,3098,2,3100,-1,3099,680,3779,-338,3441,'byte_5000'
'time_8',2325,-859,2582,1131,3713,-615,3098,2,3100,-1,3099,680,3779,-338,3441,1520,4961,'byte_4500'
'time_8',2582,-1248,3713,-615,3098,2,3100,-1,3099,680,3779,-338,3441,1520,4961,-832,4129,'byte_3500'
'time_8',3713,-1031,3098,2,3100,-1,3099,680,3779,-338,3441,1520,4961,-832,4129,-683,3446,'byte_5000'
'time_8',3098,-346,3100,-1,3099,680,3779,-338,3441,1520,4961,-832,4129,-683,3446,1535,4981,'byte_4500'
'time_9',3100,-1882,3099,680,3779,-338,3441,1520,4961,-832,4129,-683,3446,1535,4981,-542,4439,'byte_4500'
'time_9',3099,-660,3779,-338,3441,1520,4961,-832,4129,-683,3446,1535,4981,-542,4439,8,4447,'byte_4000'
'time_9',3779,-1006,3441,1520,4961,-832,4129,-683,3446,1535,4981,-542,4439,8,4447,-747,3700,'byte_5500'
'time_9',3441,1261,4961,-832,4129,-683,3446,1535,4981,-542,4439,8,4447,-747,3700,1625,5325,'byte_4500'
'time_9',4961,-1196,4129,-683,3446,1535,4981,-542,4439,8,4447,-747,3700,1625,5325,-879,4446,'byte_3500'
'time_10',4129,-1000,3446,1535,4981,-542,4439,8,4447,-747,3700,1625,5325,-879,4446,-1011,3435,'byte_4000'
'time_10',3446,1546,4981,-542,4439,8,4447,-747,3700,1625,5325,-879,4446,-1011,3435,410,3845,'byte_3500'
'time_10',4981,594,4439,8,4447,-747,3700,1625,5325,-879,4446,-1011,3435,410,3845,-641,3204,'byte_3000'
'time_10',4439,1243,4447,-747,3700,1625,5325,-879,4446,-1011,3435,410,3845,-641,3204,-534,2670,'byte_4000'
'time_10',4447,1030,3700,1625,5325,-879,4446,-1011,3435,410,3845,-641,3204,-534,2670,1168,3838,'byte_3500'
'time_10',3700,1487,5325,-879,4446,-1011,3435,410,3845,-641,3204,-534,2670,1168,3838,-634,3204,'byte_4000'
'time_11',5325,1242,4446,-1011,3435,410,3845,-641,3204,-534,2670,1168,3838,-634,3204,556,3760,'byte_6500'
'time_11',4446,-325,3435,410,3845,-641,3204,-534,2670,1168,3838,-634,3204,556,3760,2437,6197,'byte_5500'
