@relation dataset_2_500der_win8
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7223,875,875,5322,6197,2,6199,-2,6197,-7,6190,10,6200,'byte_5500'
'time_0',875,-3,6197,2,6199,-2,6197,-7,6190,10,6200,-1172,5028,'byte_4500'
'time_0',6197,1171,6199,-2,6197,-7,6190,10,6200,-1172,5028,-899,4129,'byte_4500'
'time_0',6199,2068,6197,-7,6190,10,6200,-1172,5028,-899,4129,0,4129,'byte_4500'
'time_0',6197,2061,6190,10,6200,-1172,5028,-899,4129,0,4129,0,4129,'byte_4500'
'time_1',6190,2071,6200,-1172,5028,-899,4129,0,4129,0,4129,1,4130,'byte_6000'
'time_1',6200,898,5028,-899,4129,0,4129,0,4129,1,4130,1482,5612,'byte_2500'
'time_1',5028,-1483,4129,0,4129,0,4129,1,4130,1482,5612,-3399,2213,'byte_3500'
'time_1',4129,1916,4129,0,4129,1,4130,1482,5612,-3399,2213,881,3094,'byte_3500'
'time_1',4129,1035,4129,1,4130,1482,5612,-3399,2213,881,3094,5,3099,'byte_3500'
'time_1',4129,1031,4130,1482,5612,-3399,2213,881,3094,5,3099,-1,3098,'byte_3500'
'time_2',4130,2514,5612,-3399,2213,881,3094,5,3099,-1,3098,2,3100,'byte_2500'
'time_2',5612,-887,2213,881,3094,5,3099,-1,3098,2,3100,-1065,2035,'byte_1500'
'time_2',2213,1059,3094,5,3099,-1,3098,2,3100,-1065,2035,-793,1242,'byte_1500'
'time_2',3094,1857,3099,-1,3098,2,3100,-1065,2035,-793,1242,-3,1239,'byte_1500'
'time_2',3099,1859,3098,2,3100,-1065,2035,-793,1242,-3,1239,-4,1235,'byte_1500'
'time_3',3098,1865,3100,-1065,2035,-793,1242,-3,1239,-4,1235,7,1242,'byte_1500'
'time_3',3100,793,2035,-793,1242,-3,1239,-4,1235,7,1242,-3,1239,'byte_1500'
'time_3',2035,3,1242,-3,1239,-4,1235,7,1242,-3,1239,-195,1044,'byte_1500'
'time_3',1242,195,1239,-4,1235,7,1242,-3,1239,-195,1044,-13,1031,'byte_1500'
'time_3',1239,204,1235,7,1242,-3,1239,-195,1044,-13,1031,4,1035,'byte_1500'
'time_3',1235,207,1242,-3,1239,-195,1044,-13,1031,4,1035,-4,1031,'byte_1500'
'time_4',1242,208,1239,-195,1044,-13,1031,4,1035,-4,1031,0,1031,'byte_1000'
'time_4',1239,13,1044,-13,1031,4,1035,-4,1031,0,1031,-57,974,'byte_1000'
'time_4',1044,57,1031,4,1035,-4,1031,0,1031,-57,974,-148,826,'byte_1000'
'time_4',1031,209,1035,-4,1031,0,1031,-57,974,-148,826,0,826,'byte_1000'
'time_4',1035,205,1031,0,1031,-57,974,-148,826,0,826,0,826,'byte_1000'
'time_5',1031,205,1031,-57,974,-148,826,0,826,0,826,0,826,'byte_1000'
'time_5',1031,148,974,-148,826,0,826,0,826,0,826,0,826,'byte_2000'
'time_5',974,0,826,0,826,0,826,0,826,0,826,978,1804,'byte_2000'
'time_5',826,-978,826,0,826,0,826,0,826,978,1804,-257,1547,'byte_2000'
'time_5',826,-721,826,0,826,0,826,978,1804,-257,1547,309,1856,'byte_2500'
'time_5',826,-1030,826,0,826,978,1804,-257,1547,309,1856,370,2226,'byte_2000'
'time_6',826,-1400,826,978,1804,-257,1547,309,1856,370,2226,-668,1558,'byte_2000'
'time_6',826,246,1804,-257,1547,309,1856,370,2226,-668,1558,298,1856,'byte_2500'
'time_6',1804,-309,1547,309,1856,370,2226,-668,1558,298,1856,628,2484,'byte_2000'
'time_6',1547,-628,1856,370,2226,-668,1558,298,1856,628,2484,-766,1718,'byte_2000'
'time_6',1856,508,2226,-668,1558,298,1856,628,2484,-766,1718,-60,1658,'byte_500'
'time_6',2226,-100,1558,298,1856,628,2484,-766,1718,-60,1658,-1317,341,'byte_1000'
'time_7',1558,1515,1856,628,2484,-766,1718,-60,1658,-1317,341,336,677,'byte_1500'
'time_7',1856,1807,2484,-766,1718,-60,1658,-1317,341,336,677,366,1043,'byte_2500'
'time_7',2484,675,1718,-60,1658,-1317,341,336,677,366,1043,1030,2073,'byte_4000'
'time_7',1718,-415,1658,-1317,341,336,677,366,1043,1030,2073,1765,3838,'byte_2000'
'time_7',1658,-3497,341,336,677,366,1043,1030,2073,1765,3838,-2115,1723,'byte_3500'
'time_8',341,-1046,677,366,1043,1030,2073,1765,3838,-2115,1723,1377,3100,'byte_4000'
'time_8',677,-2057,1043,1030,2073,1765,3838,-2115,1723,1377,3100,620,3720,'byte_3500'
'time_8',1043,-1647,2073,1765,3838,-2115,1723,1377,3100,620,3720,-455,3265,'byte_4500'
'time_8',2073,573,3838,-2115,1723,1377,3100,620,3720,-455,3265,871,4136,'byte_5000'
'time_9',3838,-2413,1723,1377,3100,620,3720,-455,3265,871,4136,818,4954,'byte_4500'
'time_9',1723,-1854,3100,620,3720,-455,3265,871,4136,818,4954,-825,4129,'byte_4500'
'time_9',3100,-409,3720,-455,3265,871,4136,818,4954,-825,4129,7,4136,'byte_5000'
'time_9',3720,-871,3265,871,4136,818,4954,-825,4129,7,4136,818,4954,'byte_4500'
'time_9',3265,-818,4136,818,4954,-825,4129,7,4136,818,4954,-560,4394,'byte_4500'
'time_9',4136,560,4954,-825,4129,7,4136,818,4954,-560,4394,45,4439,'byte_5500'
'time_10',4954,-310,4129,7,4136,818,4954,-560,4394,45,4439,886,5325,'byte_4500'
'time_10',4129,-1189,4136,818,4954,-560,4394,45,4439,886,5325,-887,4438,'byte_4500'
'time_10',4136,516,4954,-560,4394,45,4439,886,5325,-887,4438,2,4440,'byte_5000'
'time_10',4954,-46,4394,45,4439,886,5325,-887,4438,2,4440,152,4592,'byte_3000'
'time_10',4394,-153,4439,886,5325,-887,4438,2,4440,152,4592,-1922,2670,'byte_4000'
