@relation dataset_3_200
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_200','byte_400','byte_600','byte_800','byte_1000','byte_1200','byte_1400','byte_1600','byte_1800','byte_2000','byte_2200','byte_2400','byte_2600','byte_2800','byte_3000','byte_3200','byte_3400','byte_3600','byte_3800','byte_4000','byte_4200','byte_4400','byte_4600','byte_4800','byte_5000','byte_5200','byte_5400','byte_5600','byte_5800','byte_6000','byte_6200','byte_6400','byte_6600','byte_6800','byte_7000','byte_7200','byte_7400','byte_7600','byte_7800','byte_8000','byte_8200','byte_8400','byte_8600','byte_8800','byte_9000','byte_9200','byte_9400','byte_9600','byte_9800','byte_10000'}
@data
'time_0',6034,6199,6196,6204,6194,'byte_6200'
'time_0',6199,6196,6204,6194,6197,'byte_4200'
'time_0',6196,6204,6194,6197,4102,'byte_5000'
'time_0',6204,6194,6197,4102,4955,'byte_4200'
'time_0',6194,6197,4102,4955,4136,'byte_4200'
'time_1',6197,4102,4955,4136,4129,'byte_4200'
'time_1',4102,4955,4136,4129,4129,'byte_4000'
'time_1',4955,4136,4129,4129,3947,'byte_3200'
'time_1',4136,4129,4129,3947,3098,'byte_3200'
'time_1',4129,4129,3947,3098,3099,'byte_3200'
'time_2',4129,3947,3098,3099,3098,'byte_3200'
'time_2',3947,3098,3099,3098,3094,'byte_3200'
'time_2',3098,3099,3098,3094,3098,'byte_2000'
'time_2',3099,3098,3094,3098,1949,'byte_1400'
'time_2',3098,3094,3098,1949,1239,'byte_1400'
'time_2',3094,3098,1949,1239,1236,'byte_1200'
'time_3',3098,1949,1239,1236,1035,'byte_1600'
'time_3',1949,1239,1236,1035,1486,'byte_1400'
'time_3',1239,1236,1035,1486,1242,'byte_1000'
'time_3',1236,1035,1486,1242,859,'byte_1400'
'time_3',1035,1486,1242,859,1242,'byte_1200'
'time_3',1486,1242,859,1242,1031,'byte_1200'
'time_4',1242,859,1242,1031,1035,'byte_1200'
'time_4',859,1242,1031,1035,1031,'byte_1000'
'time_4',1242,1031,1035,1031,951,'byte_1000'
'time_4',1031,1035,1031,951,826,'byte_1000'
'time_4',1035,1031,951,826,826,'byte_1000'
'time_5',1031,951,826,826,832,'byte_1000'
'time_5',951,826,826,832,826,'byte_1000'
'time_5',826,826,832,826,826,'byte_1800'
