@relation dataset_3_500der_win10
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute d_bandwidth_6 numeric
@attribute bandwidth_7 numeric
@attribute d_bandwidth_7 numeric
@attribute bandwidth_8 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',6034,6199,6199,-3,6196,8,6204,-10,6194,3,6197,-2095,4102,853,4955,-819,4136,'byte_4500'
'time_0',6199,2060,6196,8,6204,-10,6194,3,6197,-2095,4102,853,4955,-819,4136,-7,4129,'byte_4500'
'time_0',6196,2075,6204,-10,6194,3,6197,-2095,4102,853,4955,-819,4136,-7,4129,0,4129,'byte_4000'
'time_0',6204,2065,6194,3,6197,-2095,4102,853,4955,-819,4136,-7,4129,0,4129,-182,3947,'byte_3500'
'time_0',6194,2250,6197,-2095,4102,853,4955,-819,4136,-7,4129,0,4129,-182,3947,-849,3098,'byte_3500'
'time_1',6197,1004,4102,853,4955,-819,4136,-7,4129,0,4129,-182,3947,-849,3098,1,3099,'byte_3500'
'time_1',4102,1856,4955,-819,4136,-7,4129,0,4129,-182,3947,-849,3098,1,3099,-1,3098,'byte_3500'
'time_1',4955,1038,4136,-7,4129,0,4129,-182,3947,-849,3098,1,3099,-1,3098,-4,3094,'byte_3500'
'time_1',4136,1035,4129,0,4129,-182,3947,-849,3098,1,3099,-1,3098,-4,3094,4,3098,'byte_2000'
'time_1',4129,1031,4129,-182,3947,-849,3098,1,3099,-1,3098,-4,3094,4,3098,-1149,1949,'byte_1500'
'time_2',4129,1998,3947,-849,3098,1,3099,-1,3098,-4,3094,4,3098,-1149,1949,-710,1239,'byte_1500'
'time_2',3947,1859,3098,1,3099,-1,3098,-4,3094,4,3098,-1149,1949,-710,1239,-3,1236,'byte_1500'
'time_2',3098,1863,3099,-1,3098,-4,3094,4,3098,-1149,1949,-710,1239,-3,1236,-201,1035,'byte_1500'
'time_2',3099,2063,3098,-4,3094,4,3098,-1149,1949,-710,1239,-3,1236,-201,1035,451,1486,'byte_1500'
'time_2',3098,1608,3094,4,3098,-1149,1949,-710,1239,-3,1236,-201,1035,451,1486,-244,1242,'byte_1000'
'time_2',3094,1856,3098,-1149,1949,-710,1239,-3,1236,-201,1035,451,1486,-244,1242,-383,859,'byte_1500'
'time_3',3098,1090,1949,-710,1239,-3,1236,-201,1035,451,1486,-244,1242,-383,859,383,1242,'byte_1500'
'time_3',1949,-3,1239,-3,1236,-201,1035,451,1486,-244,1242,-383,859,383,1242,-211,1031,'byte_1500'
'time_3',1239,205,1236,-201,1035,451,1486,-244,1242,-383,859,383,1242,-211,1031,4,1035,'byte_1500'
'time_3',1236,0,1035,451,1486,-244,1242,-383,859,383,1242,-211,1031,4,1035,-4,1031,'byte_1000'
'time_3',1035,455,1486,-244,1242,-383,859,383,1242,-211,1031,4,1035,-4,1031,-80,951,'byte_1000'
'time_3',1486,291,1242,-383,859,383,1242,-211,1031,4,1035,-4,1031,-80,951,-125,826,'byte_1000'
'time_4',1242,33,859,383,1242,-211,1031,4,1035,-4,1031,-80,951,-125,826,0,826,'byte_1000'
'time_4',859,416,1242,-211,1031,4,1035,-4,1031,-80,951,-125,826,0,826,6,832,'byte_1000'
'time_4',1242,199,1031,4,1035,-4,1031,-80,951,-125,826,0,826,6,832,-6,826,'byte_1000'
'time_4',1031,209,1035,-4,1031,-80,951,-125,826,0,826,6,832,-6,826,0,826,'byte_2000'
'time_4',1035,205,1031,-80,951,-125,826,0,826,6,832,-6,826,0,826,865,1691,'byte_2000'
'time_5',1031,-740,951,-125,826,0,826,6,832,-6,826,0,826,865,1691,170,1861,'byte_2000'
'time_5',951,-1035,826,0,826,6,832,-6,826,0,826,865,1691,170,1861,-5,1856,'byte_2000'
'time_5',826,-1030,826,6,832,-6,826,0,826,865,1691,170,1861,-5,1856,2,1858,'byte_2000'
'time_5',826,-1026,832,-6,826,0,826,865,1691,170,1861,-5,1856,2,1858,3,1861,'byte_2000'
'time_5',832,-1035,826,0,826,865,1691,170,1861,-5,1856,2,1858,3,1861,55,1916,'byte_2500'
'time_5',826,-1090,826,865,1691,170,1861,-5,1856,2,1858,3,1861,55,1916,148,2064,'byte_2500'
'time_6',826,-373,1691,170,1861,-5,1856,2,1858,3,1861,55,1916,148,2064,1,2065,'byte_2500'
'time_6',1691,-204,1861,-5,1856,2,1858,3,1861,55,1916,148,2064,1,2065,5,2070,'byte_2500'
'time_6',1861,-214,1856,2,1858,3,1861,55,1916,148,2064,1,2065,5,2070,-9,2061,'byte_2500'
'time_6',1856,-203,1858,3,1861,55,1916,148,2064,1,2065,5,2070,-9,2061,9,2070,'byte_3000'
'time_6',1858,-209,1861,55,1916,148,2064,1,2065,5,2070,-9,2061,9,2070,876,2946,'byte_3500'
'time_7',1861,-1030,1916,148,2064,1,2065,5,2070,-9,2061,9,2070,876,2946,152,3098,'byte_3500'
'time_7',1916,-1034,2064,1,2065,5,2070,-9,2061,9,2070,876,2946,152,3098,1,3099,'byte_3500'
'time_7',2064,-1034,2065,5,2070,-9,2061,9,2070,876,2946,152,3098,1,3099,-1,3098,'byte_3500'
'time_7',2065,-1028,2070,-9,2061,9,2070,876,2946,152,3098,1,3099,-1,3098,0,3098,'byte_3500'
'time_7',2070,-1037,2061,9,2070,876,2946,152,3098,1,3099,-1,3098,0,3098,216,3314,'byte_4500'
'time_7',2061,-1244,2070,876,2946,152,3098,1,3099,-1,3098,0,3098,216,3314,815,4129,'byte_4500'
'time_8',2070,-1183,2946,152,3098,1,3099,-1,3098,0,3098,216,3314,815,4129,1,4130,'byte_4500'
'time_8',2946,-1032,3098,1,3099,-1,3098,0,3098,216,3314,815,4129,1,4130,-1,4129,'byte_4500'
'time_8',3098,-1030,3099,-1,3098,0,3098,216,3314,815,4129,1,4130,-1,4129,7,4136,'byte_4500'
'time_8',3099,-1038,3098,0,3098,216,3314,815,4129,1,4130,-1,4129,7,4136,-7,4129,'byte_4500'
'time_8',3098,-1031,3098,216,3314,815,4129,1,4130,-1,4129,7,4136,-7,4129,176,4305,'byte_4500'
'time_9',3098,-991,3314,815,4129,1,4130,-1,4129,7,4136,-7,4129,176,4305,141,4446,'byte_4500'
'time_9',3314,-317,4129,1,4130,-1,4129,7,4136,-7,4129,176,4305,141,4446,-6,4440,'byte_4500'
'time_9',4129,-310,4130,-1,4129,7,4136,-7,4129,176,4305,141,4446,-6,4440,3,4443,'byte_4500'
'time_9',4130,-314,4129,7,4136,-7,4129,176,4305,141,4446,-6,4440,3,4443,3,4446,'byte_4000'
'time_9',4129,-310,4136,-7,4129,176,4305,141,4446,-6,4440,3,4443,3,4446,-746,3700,'byte_4500'
'time_9',4136,429,4129,176,4305,141,4446,-6,4440,3,4443,3,4446,-746,3700,336,4036,'byte_3500'
'time_10',4129,269,4305,141,4446,-6,4440,3,4443,3,4446,-746,3700,336,4036,-832,3204,'byte_3500'
'time_10',4305,1242,4446,-6,4440,3,4443,3,4446,-746,3700,336,4036,-832,3204,-7,3197,'byte_3500'
'time_10',4446,1243,4440,3,4443,3,4446,-746,3700,336,4036,-832,3204,-7,3197,7,3204,'byte_3500'
'time_10',4440,1239,4443,3,4446,-746,3700,336,4036,-832,3204,-7,3197,7,3204,0,3204,'byte_3500'
'time_10',4443,1242,4446,-746,3700,336,4036,-832,3204,-7,3197,7,3204,0,3204,-104,3100,'byte_6500'
'time_10',4446,600,3700,336,4036,-832,3204,-7,3197,7,3204,0,3204,-104,3100,3097,6197,'byte_5500'
'time_11',3700,-2161,4036,-832,3204,-7,3197,7,3204,0,3204,-104,3100,3097,6197,-1037,5160,'byte_4500'
'time_11',4036,-1956,3204,-7,3197,7,3204,0,3204,-104,3100,3097,6197,-1037,5160,-855,4305,'byte_6500'
'time_11',3204,-1108,3197,7,3204,0,3204,-104,3100,3097,6197,-1037,5160,-855,4305,1892,6197,'byte_5500'
'time_11',3197,-2993,3204,0,3204,-104,3100,3097,6197,-1037,5160,-855,4305,1892,6197,-1031,5166,'byte_5000'
'time_11',3204,-1962,3204,-104,3100,3097,6197,-1037,5160,-855,4305,1892,6197,-1031,5166,-228,4938,'byte_8000'
'time_12',3204,-1838,3100,3097,6197,-1037,5160,-855,4305,1892,6197,-1031,5166,-228,4938,2622,7560,'byte_6500'
'time_12',3100,-1363,6197,-1037,5160,-855,4305,1892,6197,-1031,5166,-228,4938,2622,7560,-1257,6303,'byte_5500'
'time_12',6197,-1143,5160,-855,4305,1892,6197,-1031,5166,-228,4938,2622,7560,-1257,6303,-1050,5253,'byte_8000'
'time_12',5160,-948,4305,1892,6197,-1031,5166,-228,4938,2622,7560,-1257,6303,-1050,5253,2305,7558,'byte_6500'
'time_12',4305,-1361,6197,-1031,5166,-228,4938,2622,7560,-1257,6303,-1050,5253,2305,7558,-1295,6263,'byte_5000'
'time_12',6197,-1097,5166,-228,4938,2622,7560,-1257,6303,-1050,5253,2305,7558,-1295,6263,-1528,4735,'byte_7000'
'time_13',5166,203,4938,2622,7560,-1257,6303,-1050,5253,2305,7558,-1295,6263,-1528,4735,2084,6819,'byte_6000'
'time_13',4938,741,7560,-1257,6303,-1050,5253,2305,7558,-1295,6263,-1528,4735,2084,6819,-1137,5682,'byte_6000'
'time_13',7560,621,6303,-1050,5253,2305,7558,-1295,6263,-1528,4735,2084,6819,-1137,5682,0,5682,'byte_6000'
'time_13',6303,-429,5253,2305,7558,-1295,6263,-1528,4735,2084,6819,-1137,5682,0,5682,8,5690,'byte_6500'
'time_13',5253,1868,7558,-1295,6263,-1528,4735,2084,6819,-1137,5682,0,5682,8,5690,679,6369,'byte_7500'
'time_13',7558,-106,6263,-1528,4735,2084,6819,-1137,5682,0,5682,8,5690,679,6369,761,7130,'byte_7500'
'time_14',6263,-2395,4735,2084,6819,-1137,5682,0,5682,8,5690,679,6369,761,7130,-1,7129,'byte_7500'
'time_14',4735,-310,6819,-1137,5682,0,5682,8,5690,679,6369,761,7130,-1,7129,0,7129,'byte_6000'
'time_14',6819,-1447,5682,0,5682,8,5690,679,6369,761,7130,-1,7129,0,7129,-1189,5940,'byte_9000'
'time_14',5682,-258,5682,8,5690,679,6369,761,7130,-1,7129,0,7129,-1189,5940,2616,8556,'byte_8500'
